Day	Time	99XXX9999	18XXX9999	17XXX9999
0	8	0	0	0
0	9	0	0	0
0	10	0	0	0
0	11	0	0	0
0	12	0	0	0
0	13	0	0	0
0	14	0	0	0
0	15	0	0	0
0	16	0	0	0
0	17	0	0	0
0	18	0	0	0
0	19	0	0	0
1	8	ECE3013-ELA-L7-TT246	ECE3013-ELA-L7-TT246	0
1	9	ECE3013-ELA-L8-TT246	ECE3013-ELA-L8-TT246	0
1	10	0	0	0
1	11	0	0	0
1	12	0	0	0
1	13	0	0	0
1	14	0	0	0
1	15	0	0	0
1	16	0	0	0
1	17	0	0	0
1	18	0	0	0
1	19	0	0	0
2	8	0	0	0
2	9	0	0	0
2	10	0	0	0
2	11	0	0	0
2	12	0	0	0
2	13	0	0	0
2	14	0	0	0
2	15	0	0	0
2	16	0	0	CSE2003-ELA-L45-SJT419
2	17	0	0	MAT2001-ELA-L47-SJT119
2	18	0	0	MAT2001-ELA-L47-SJT119
2	19	0	0	0
3	8	ECE1008-LO-L19-TT135	ECE1008-LO-L19-TT135	0
3	9	ECE1008-LO-L20-TT135	ECE1008-LO-L20-TT135	0
3	10	0	0	0
3	11	0	0	0
3	12	0	0	0
3	13	0	0	0
3	14	0	0	0
3	15	0	0	0
3	16	0	0	0
3	17	0	0	0
3	18	0	0	0
3	19	0	0	0
4	8	ECE3001-ELA-L25-TT135	ECE3001-ELA-L25-TT135	0
4	9	ECE3001-ELA-L26-TT135	ECE3001-ELA-L26-TT135	0
4	10	0	0	0
4	11	0	0	0
4	12	0	0	0
4	13	0	0	0
4	14	0	0	0
4	15	0	0	0
4	16	0	0	CSE3001-ELA-L57-SJT417
4	17	0	0	CSE3001-ELA-L58-SJT417
4	18	0	0	0
4	19	0	0	0
